,date,hospitalized,light-mid_symptoms,severe_symptoms,dead,discharged,PCR_positive,PCR_negative,tested_MA(7days),positive_rate,comparisonPreDay,comparisonPreDeclare,comparisonPreSpread
0,2020-05-01,2673.0,2576.0,97.0,6.0,94.0,18.0,289.0,299.7,0.1,-2.7,-61.5,-74.9
1,2020-05-02,2783.0,2683.0,100.0,15.0,32.0,19.0,280.0,297.1,0.08800000000000001,-37.8,-76.1,-85.7
2,2020-05-03,2856.0,2759.0,97.0,4.0,17.0,32.0,446.0,320.7,0.08,-21.0,-81.1,-88.7
3,2020-05-04,2915.0,2823.0,92.0,5.0,22.0,7.0,260.0,316.3,0.071,10.3,-79.2,-87.5
4,2020-05-05,2950.0,2857.0,93.0,0.0,23.0,9.0,135.0,318.7,0.073,0.7,-79.0,-87.4
5,2020-05-06,2974.0,2883.0,91.0,5.0,7.0,7.0,98.0,300.0,0.066,3.5,-78.3,-87.0
6,2020-05-07,2679.0,2592.0,87.0,5.0,313.0,25.0,1106.0,390.1,0.043,127.9,-50.5,-67.8
7,2020-05-08,2503.0,2425.0,78.0,11.0,204.0,20.0,1203.0,521.0,0.033,-2.9,-52.0,-68.7
8,2020-05-09,2514.0,2431.0,83.0,9.0,16.0,28.0,969.0,620.7,0.028999999999999998,-29.7,-66.3,-79.8
9,2020-05-10,2518.0,2447.0,71.0,0.0,18.0,19.0,647.0,647.6,0.025,-16.3,-71.8,-83.1
10,2020-05-11,2509.0,2444.0,65.0,9.0,15.0,25.0,1167.0,779.7,0.024,73.0,-51.1,-68.2
11,2020-05-12,1413.0,1357.0,56.0,7.0,716.0,15.0,1484.0,973.3,0.02,-2.6,-52.4,-69.0
12,2020-05-13,1320.0,1268.0,52.0,7.0,138.0,10.0,1390.0,1158.3,0.018000000000000002,4.1,-50.4,-67.7
13,2020-05-14,1199.0,1145.0,54.0,9.0,193.0,15.0,1459.0,1207.3,0.016,-3.2,-52.0,-68.7
14,2020-05-15,1077.0,1024.0,53.0,7.0,154.0,9.0,1305.0,1220.3,0.013999999999999999,8.0,-48.2,-66.2
15,2020-05-16,1033.0,978.0,55.0,11.0,88.0,5.0,827.0,1196.7,0.012,-32.8,-65.2,-79.1
16,2020-05-17,1024.0,970.0,54.0,7.0,38.0,3.0,411.0,1160.7,0.01,3.9,-63.8,-78.3
17,2020-05-18,935.0,883.0,52.0,4.0,120.0,11.0,1102.0,1150.1,0.008,46.3,-47.0,-65.5
18,2020-05-19,831.0,782.0,49.0,3.0,216.0,11.0,1150.0,1103.7,0.008,-3.3,-48.8,-66.7
19,2020-05-20,749.0,705.0,44.0,3.0,93.0,7.0,1057.0,1058.6,0.008,7.7,-44.9,-64.1
20,2020-05-21,655.0,613.0,42.0,9.0,132.0,10.0,1047.0,1001.7,0.008,0.9,-44.4,-63.8
21,2020-05-22,561.0,519.0,42.0,7.0,116.0,8.0,1103.0,974.9,0.008,2.3,-43.1,-63.0
22,2020-05-23,529.0,486.0,43.0,8.0,40.0,9.0,537.0,936.3,0.009000000000000001,-13.6,-50.9,-70.6
23,2020-05-24,517.0,476.0,41.0,9.0,10.0,5.0,354.0,928.7,0.01,-9.8,-55.7,-73.4
24,2020-05-25,474.0,435.0,39.0,8.0,72.0,10.0,910.0,905.3,0.01,38.4,-38.7,-60.1
25,2020-05-26,420.0,387.0,33.0,4.0,68.0,21.0,1036.0,895.3,0.011000000000000001,7.8,-33.9,-56.9
26,2020-05-27,394.0,363.0,31.0,4.0,34.0,12.0,1054.0,898.3,0.012,8.9,-28.0,-53.1
27,2020-05-28,380.0,348.0,32.0,3.0,30.0,19.0,1048.0,903.1,0.013000000000000001,3.5,-25.5,-51.4
28,2020-05-29,342.0,311.0,31.0,3.0,58.0,20.0,1150.0,914.6,0.016,9.3,-18.5,-46.9
29,2020-05-30,339.0,308.0,31.0,2.0,7.0,14.0,548.0,921.9,0.017,15.2,-6.1,-43.7
30,2020-05-31,346.0,318.0,28.0,1.0,2.0,12.0,369.0,925.9,0.018000000000000002,-9.7,-15.2,-49.2
31,2020-06-01,329.0,300.0,29.0,0.0,29.0,27.0,1399.0,1003.4,0.019,23.1,4.3,-32.0
32,2020-06-02,312.0,286.0,26.0,1.0,47.0,23.0,1423.0,1064.3,0.018000000000000002,-0.6,3.7,-32.4
33,2020-06-03,305.0,278.0,27.0,0.0,37.0,28.0,1581.0,1148.4,0.019,10.3,14.4,-25.5
34,2020-06-04,290.0,263.0,27.0,1.0,25.0,38.0,1670.0,1246.4,0.019,0.7,15.2,-25.0
35,2020-06-05,272.0,246.0,26.0,2.0,39.0,16.0,1891.0,1359.3,0.017,0.9,16.2,-24.3
36,2020-06-06,269.0,243.0,26.0,2.0,8.0,30.0,1106.0,1442.0,0.018000000000000002,9.7,27.6,-23.5
37,2020-06-07,276.0,250.0,26.0,0.0,1.0,3.0,410.0,1449.4,0.017,-6.6,19.1,-28.5
38,2020-06-08,281.0,257.0,24.0,0.0,20.0,23.0,1720.0,1499.1,0.016,-3.3,15.2,-24.9
39,2020-06-09,264.0,241.0,23.0,0.0,42.0,23.0,1787.0,1553.9,0.016,0.1,15.3,-24.9
