date,Positive\_Rate
2021-09-22,0.05
2021-09-23,0.048
2021-09-24,0.043
2021-09-25,0.039
2021-09-26,0.038
2021-09-27,0.034
2021-09-28,0.032
2021-09-29,0.027999999999999997
2021-09-30,0.026000000000000002
2021-10-01,0.024
2021-10-02,0.022000000000000002
2021-10-03,0.021
2021-10-04,0.019
2021-10-05,0.018000000000000002
2021-10-06,0.017
2021-10-07,0.016
2021-10-08,0.013999999999999999
2021-10-09,0.013000000000000001
2021-10-10,0.013000000000000001
2021-10-11,0.011000000000000001
2021-10-12,0.01
2021-10-13,0.009000000000000001
2021-10-14,0.008
2021-10-15,0.008
2021-10-16,0.008
2021-10-17,0.008
2021-10-18,0.008
2021-10-19,0.006999999999999999
2021-10-20,0.006999999999999999
2021-10-21,0.006
2021-10-22,0.005
2021-10-23,0.005
2021-10-24,0.005
2021-10-25,0.004
2021-10-26,0.004
2021-10-27,0.004
2021-10-28,0.004
2021-10-29,0.004
2021-10-30,0.004
2021-10-31,0.004
2021-11-01,0.004
2021-11-02,0.004
2021-11-03,0.004
2021-11-04,0.004
2021-11-05,0.004
2021-11-06,0.004
2021-11-07,0.004
2021-11-08,0.004
2021-11-09,0.004
2021-11-10,0.004
2021-11-11,0.003
2021-11-12,0.003
2021-11-13,0.003
2021-11-14,0.003
2021-11-15,0.003
2021-11-16,0.003
2021-11-17,0.003
2021-11-18,0.003
2021-11-19,0.003
2021-11-20,0.003
2021-11-21,0.003
2021-11-22,0.003
2021-11-23,0.003
2021-11-24,0.003
2021-11-25,0.003
2021-11-26,0.003
2021-11-27,0.003
2021-11-28,0.003
2021-11-29,0.003
2021-11-30,0.003
2021-12-01,0.003
2021-12-02,0.002
2021-12-03,0.003
2021-12-04,0.003
2021-12-05,0.003
2021-12-06,0.003
2021-12-07,0.003
2021-12-08,0.003
2021-12-09,0.003
2021-12-10,0.003
2021-12-11,0.008220854215323925
2021-12-12,0.008215936832129955
2021-12-13,0.008201106451451778
2021-12-14,0.008199370466172695
2021-12-15,0.008222970180213451
2021-12-16,0.008276465348899364
2021-12-17,0.008277161978185177
2021-12-18,0.008279419504106045
2021-12-19,0.008281807415187359
2021-12-20,0.008293136022984982
2021-12-21,0.00827110093086958
2021-12-22,0.008270486257970333
2021-12-23,0.00796621572226286
2021-12-24,0.007986879907548428
2021-12-25,0.008224829100072384
2021-12-26,0.008359446190297604
2021-12-27,0.008345506154000759
2021-12-28,0.008338443003594875
2021-12-29,0.008345681242644787
2021-12-30,0.00832210760563612
